#{"t_start": 1754642096.1582983, "env_id": "None"}
r,l,t,total_reward,shape,ttc,step_cost,jerk,crash,goal,off_road_hard_event,off_road_soft_penalty
-5.7226076,68,9.166738,-52.51053054102189,-2.5105305410218914,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.742663,11,9.181714,-52.771086150268204,-2.7710861502681983,0.0,0.0,0.0,0.0,0.0,1,0.0
-6.0399404,49,9.23979,-55.43659434417099,-5.236594344170992,0.0,0.0,0.0,0.0,0.0,1,-50.2
-5.8391275,18,9.262988,-53.648242322467645,-3.4482423224676486,0.0,0.0,0.0,0.0,0.0,1,-50.2
-5.6630964,7,9.27352,-52.12065097395125,-2.1206509739512533,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.6254683,25,9.304119,-51.79435107975406,-1.7943510797540618,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.6611776,33,9.34393,-52.10845212411947,-2.0084521241194624,0.0,0.0,0.0,0.0,0.0,1,-0.1
-5.7272854,33,9.383561,-52.7106563286998,-2.7106563286998018,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.61868,28,9.417418,-51.71842964704497,-1.6184296470449642,0.0,0.0,0.0,0.0,0.0,1,-50.1
-5.8862987,27,9.452064,-54.205012148803355,-4.205012148803355,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.7201633,15,9.471521,-52.73452411451937,-2.7345241145193704,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.8027506,8,9.483088,-53.587300305085144,-3.5873003050851437,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.540475,59,9.553835,-51.06153454403955,-0.961534544039548,0.0,0.0,0.0,0.0,0.0,1,-0.1
-5.7754655,22,9.582604,-53.258687711107875,-3.2586877111078767,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.761625,33,9.622407,-53.122502356464075,-3.1225023564640715,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.7842474,75,9.712687,-53.17226319979907,-2.972263199799065,0.0,0.0,0.0,0.0,0.0,1,-50.2
-5.684599,37,9.755402,-52.237329534999915,-2.237329534999911,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.7846737,26,9.787447,-53.17258438121828,-3.0725843812182774,0.0,0.0,0.0,0.0,0.0,1,-0.1
-6.019984,17,9.809488,-55.39612608216371,-5.396126082163711,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.832087,22,9.835943,-53.706990189860505,-3.706990189860501,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.662564,47,9.890166,-52.08348318856927,-1.9834831885692727,0.0,0.0,0.0,0.0,0.0,1,-0.1
-5.8193965,22,9.917086,-53.558154113732385,-3.558154113732379,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.7264457,10,9.930584,-52.77812107586711,-2.7781210758671078,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.86881,21,9.956045,-54.13003559004449,-4.030035590044495,0.0,0.0,0.0,0.0,0.0,1,-0.1
-5.774129,62,10.026189,-53.14984919846795,-3.1498491984679484,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.724587,17,10.047266,-52.73916426300431,-2.7391642630043105,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.7372518,68,10.123231,-52.72776457922594,-2.6277645792259374,0.0,0.0,0.0,0.0,0.0,1,-0.1
-5.6670775,51,10.183381,-52.01090421262037,-2.0109042126203667,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.7792053,41,10.230612,-53.00613412187824,-2.7061341218782378,0.0,0.0,0.0,0.0,0.0,1,-50.3
-5.834731,11,10.245602,-53.58917822402343,-3.589178224023433,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.6942725,25,10.275264,-52.319158881655156,-2.3191588816551594,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.813413,28,10.308448,-53.42525252494876,-3.4252525249487604,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.5918713,45,10.359833,-51.340722787822784,-1.3407227878227834,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.62431,28,10.392795,-51.645631735912886,-1.645631735912886,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.9319916,18,10.41526,-54.516420531929874,-4.5164205319298745,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.9454618,25,10.44523,-54.6702341224155,-4.570234122415503,0.0,0.0,0.0,0.0,0.0,1,-0.1
-5.78949,18,10.467393,-53.28547373874164,-3.285473738741647,0.0,0.0,0.0,0.0,0.0,1,0.0
-6.002586,16,10.487806,-55.306598146555416,-5.3065981465554195,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.625716,20,10.514523,-51.8722951443493,-1.8722951443493,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.525375,77,10.603821,-50.79695978739125,-0.7969597873912502,0.0,0.0,0.0,0.0,0.0,1,0.0
-6.207304,30,10.639477,-57.08156707534195,-6.981567075341951,0.0,0.0,0.0,0.0,0.0,1,-50.1
-5.748651,60,10.709048,-52.773708714541385,-2.673708714541391,0.0,0.0,0.0,0.0,0.0,1,-0.1
-5.661507,34,10.749044,-51.96068348186533,-1.7606834818653319,0.0,0.0,0.0,0.0,0.0,1,-50.2
-5.8991337,35,10.791118,-54.13429904681399,-4.1342990468139895,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.7785544,47,10.846568,-52.97510853709958,-2.775108537099584,0.0,0.0,0.0,0.0,0.0,1,-0.2
-5.728921,24,10.876206,-52.53918252965954,-2.339182529659543,0.0,0.0,0.0,0.0,0.0,1,-0.2
-5.774022,20,10.901378,-52.98859893307101,-2.9885989330710094,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.6028214,27,10.934735,-51.42797664189854,-1.4279766418985425,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.6673636,65,11.010615,-51.91408613772531,-1.9140861377253167,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.677662,7,11.021423,-52.07973388769618,-2.0797338876961815,0.0,0.0,0.0,0.0,0.0,1,0.0
-6.000256,71,11.104178,-54.91660207643659,-4.816602076436585,0.0,0.0,0.0,0.0,0.0,1,-0.1
-5.809594,31,11.141183,-53.17723893907569,-3.1772389390756937,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.6946216,8,11.153589,-52.19276850568728,-2.092768505687287,0.0,0.0,0.0,0.0,0.0,1,-50.1
-5.6916256,24,11.184146,-52.18522251108029,-2.185222511080287,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.976328,27,11.507257,-54.817672059883854,-4.817672059883856,0.0,0.0,0.0,0.0,0.0,1,0.0
-5.82194,93,11.612768,-53.21745766194276,-3.1174576619427645,0.0,0.0,0.0,0.0,0.0,1,-0.1
-5.7175217,47,11.666152,-52.213804912872575,-2.2138049128725763,0.0,0.0,0.0,0.0,0.0,1,0.0
